vcn,byte,bit,set start,set end,clear start,clear end
144,18,0,11111111,00000001,00000000,11111110
145,18,1,11111110,00000011,00000001,11111100
146,18,2,11111100,00000111,00000011,11111000
147,18,3,11111000,00001111,00000111,11110000
148,18,4,11110000,00011111,00001111,11100000
149,18,5,11100000,00111111,00011111,11000000
150,18,6,11000000,01111111,00111111,10000000
151,18,7,10000000,11111111,011111111,00000000
152,19,0,11111111,00000001,00000000,11111110
153,19,1,11111110,00000011,00000001,11111100
154,19,2,11111100,00000111,00000011,11111000
155,19,3,11111000,00001111,00000111,11110000
156,19,4,11110000,00011111,00001111,11100000
157,19,5,11100000,00111111,00011111,11000000
158,19,6,11000000,01111111,00111111,10000000
159,19,7,10000000,11111111,011111111,00000000
160,20,0,11111111,00000001,00000000,11111110
161,20,1,11111110,00000011,00000001,11111100
162,20,2,11111100,00000111,00000011,11111000
163,20,3,11111000,00001111,00000111,11110000
164,20,4,11110000,00011111,00001111,11100000
165,20,5,11100000,00111111,00011111,11000000
166,20,6,11000000,01111111,00111111,10000000
167,20,7,10000000,11111111,011111111,00000000
168,21,0,11111111,00000001,00000000,11111110
169,21,1,11111110,00000011,00000001,11111100
170,21,2,11111100,00000111,00000011,11111000
171,21,3,11111000,00001111,00000111,11110000
172,21,4,11110000,00011111,00001111,11100000
173,21,5,11100000,00111111,00011111,11000000
174,21,6,11000000,01111111,00111111,10000000
175,21,7,10000000,11111111,011111111,00000000
176,22,0,11111111,00000001,00000000,11111110
177,22,1,11111110,00000011,00000001,11111100
178,22,2,11111100,00000111,00000011,11111000
179,22,3,11111000,00001111,00000111,11110000
180,22,4,11110000,00011111,00001111,11100000
181,22,5,11100000,00111111,00011111,11000000
182,22,6,11000000,01111111,00111111,10000000
183,22,7,10000000,11111111,011111111,00000000
184,23,0,11111111,00000001,00000000,11111110
185,23,1,11111110,00000011,00000001,11111100
186,23,2,11111100,00000111,00000011,11111000
187,23,3,11111000,00001111,00000111,11110000
188,23,4,11110000,00011111,00001111,11100000
189,23,5,11100000,00111111,00011111,11000000
190,23,6,11000000,01111111,00111111,10000000
191,23,7,10000000,11111111,011111111,00000000
192,24,0,11111111,00000001,00000000,11111110
193,24,1,11111110,00000011,00000001,11111100
194,24,2,11111100,00000111,00000011,11111000
195,24,3,11111000,00001111,00000111,11110000
196,24,4,11110000,00011111,00001111,11100000
197,24,5,11100000,00111111,00011111,11000000
198,24,6,11000000,01111111,00111111,10000000
199,24,7,10000000,11111111,011111111,00000000
200,25,0,11111111,00000001,00000000,11111110
201,25,1,11111110,00000011,00000001,11111100
202,25,2,11111100,00000111,00000011,11111000
203,25,3,11111000,00001111,00000111,11110000
204,25,4,11110000,00011111,00001111,11100000
205,25,5,11100000,00111111,00011111,11000000
206,25,6,11000000,01111111,00111111,10000000
207,25,7,10000000,11111111,011111111,00000000
208,26,0,11111111,00000001,00000000,11111110
209,26,1,11111110,00000011,00000001,11111100
210,26,2,11111100,00000111,00000011,11111000
211,26,3,11111000,00001111,00000111,11110000
212,26,4,11110000,00011111,00001111,11100000
213,26,5,11100000,00111111,00011111,11000000
214,26,6,11000000,01111111,00111111,10000000
215,26,7,10000000,11111111,011111111,00000000
216,27,0,11111111,00000001,00000000,11111110
217,27,1,11111110,00000011,00000001,11111100
218,27,2,11111100,00000111,00000011,11111000
219,27,3,11111000,00001111,00000111,11110000
220,27,4,11110000,00011111,00001111,11100000
221,27,5,11100000,00111111,00011111,11000000
222,27,6,11000000,01111111,00111111,10000000
223,27,7,10000000,11111111,011111111,00000000
224,28,0,11111111,00000001,00000000,11111110
225,28,1,11111110,00000011,00000001,11111100
226,28,2,11111100,00000111,00000011,11111000
227,28,3,11111000,00001111,00000111,11110000
228,28,4,11110000,00011111,00001111,11100000
229,28,5,11100000,00111111,00011111,11000000
230,28,6,11000000,01111111,00111111,10000000
231,28,7,10000000,11111111,011111111,00000000
232,29,0,11111111,00000001,00000000,11111110
233,29,1,11111110,00000011,00000001,11111100
234,29,2,11111100,00000111,00000011,11111000
235,29,3,11111000,00001111,00000111,11110000
236,29,4,11110000,00011111,00001111,11100000
237,29,5,11100000,00111111,00011111,11000000
238,29,6,11000000,01111111,00111111,10000000
239,29,7,10000000,11111111,011111111,00000000
240,30,0,11111111,00000001,00000000,11111110
241,30,1,11111110,00000011,00000001,11111100
242,30,2,11111100,00000111,00000011,11111000
243,30,3,11111000,00001111,00000111,11110000
244,30,4,11110000,00011111,00001111,11100000
245,30,5,11100000,00111111,00011111,11000000
246,30,6,11000000,01111111,00111111,10000000
247,30,7,10000000,11111111,011111111,00000000
248,31,0,11111111,00000001,00000000,11111110
249,31,1,11111110,00000011,00000001,11111100
250,31,2,11111100,00000111,00000011,11111000
